time,type,y,newcol
29/04/22,L2_ISLANDS_in,99,1
30/04/22,L2_ISLANDS_in,97,1
01/05/22,L2_ISLANDS_in,5,1
02/05/22,L2_ISLANDS_in,48,1
03/05/22,L2_ISLANDS_in,104,1
04/05/22,L2_ISLANDS_in,163,1
05/05/22,L2_ISLANDS_in,139,1
06/05/22,L2_ISLANDS_in,123,1
07/05/22,L2_ISLANDS_in,53,1
08/05/22,L2_ISLANDS_in,7,1
09/05/22,L2_ISLANDS_in,42,1
10/05/22,L2_ISLANDS_in,108,1
11/05/22,L2_ISLANDS_in,167,1
12/05/22,L2_ISLANDS_in,144,1
13/05/22,L2_ISLANDS_in,67,1
14/05/22,L2_ISLANDS_in,79,1
15/05/22,L2_ISLANDS_in,48,1
16/05/22,L2_ISLANDS_in,125,1
17/05/22,L2_ISLANDS_in,135,1
01/03/22,L2_ISLANDS_out,0,1
02/03/22,L2_ISLANDS_out,0,1
03/03/22,L2_ISLANDS_out,1,1
04/03/22,L2_ISLANDS_out,23,1
05/03/22,L2_ISLANDS_out,0,1
06/03/22,L2_ISLANDS_out,0,1
07/03/22,L2_ISLANDS_out,0,1
08/03/22,L2_ISLANDS_out,2,1
09/03/22,L2_ISLANDS_out,0,1
10/03/22,L2_ISLANDS_out,1,1
11/03/22,L2_ISLANDS_out,2,1
12/03/22,L2_ISLANDS_out,1,1
13/03/22,L2_ISLANDS_out,1,1
14/03/22,L2_ISLANDS_out,1,1
15/03/22,L2_ISLANDS_out,0,1
16/03/22,L2_ISLANDS_out,0,1
17/03/22,L2_ISLANDS_out,0,1
18/03/22,L2_ISLANDS_out,0,1
19/03/22,L2_ISLANDS_out,0,1
20/03/22,L2_ISLANDS_out,0,1
21/03/22,L2_ISLANDS_out,0,1
22/03/22,L2_ISLANDS_out,0,1
23/03/22,L2_ISLANDS_out,0,1
24/03/22,L2_ISLANDS_out,0,1
25/03/22,L2_ISLANDS_out,0,1
26/03/22,L2_ISLANDS_out,0,1
27/03/22,L2_ISLANDS_out,0,1
28/03/22,L2_ISLANDS_out,0,1
29/03/22,L2_ISLANDS_out,0,1
30/03/22,L2_ISLANDS_out,0,1
31/03/22,L2_ISLANDS_out,2,1
01/04/22,L2_ISLANDS_out,0,1
02/04/22,L2_ISLANDS_out,0,1
03/04/22,L2_ISLANDS_out,0,1
04/04/22,L2_ISLANDS_out,0,1
05/04/22,L2_ISLANDS_out,0,1
06/04/22,L2_ISLANDS_out,0,1
07/04/22,L2_ISLANDS_out,4,1
08/04/22,L2_ISLANDS_out,1,1
09/04/22,L2_ISLANDS_out,2,1
10/04/22,L2_ISLANDS_out,3,1
11/04/22,L2_ISLANDS_out,0,1
12/04/22,L2_ISLANDS_out,6,1
13/04/22,L2_ISLANDS_out,3,1
14/04/22,L2_ISLANDS_out,3,1
15/04/22,L2_ISLANDS_out,7,1
16/04/22,L2_ISLANDS_out,4,1
17/04/22,L2_ISLANDS_out,3,1
18/04/22,L2_ISLANDS_out,2,1
19/04/22,L2_ISLANDS_out,7,1
20/04/22,L2_ISLANDS_out,5,1
21/04/22,L2_ISLANDS_out,5,1
22/04/22,L2_ISLANDS_out,2,1
23/04/22,L2_ISLANDS_out,5,1
24/04/22,L2_ISLANDS_out,8,1
25/04/22,L2_ISLANDS_out,2,1
26/04/22,L2_ISLANDS_out,7,1
27/04/22,L2_ISLANDS_out,7,1
28/04/22,L2_ISLANDS_out,5,1
29/04/22,L2_ISLANDS_out,3,1
30/04/22,L2_ISLANDS_out,4,1
01/05/22,L2_ISLANDS_out,5,1
02/05/22,L2_ISLANDS_out,7,1
03/05/22,L2_ISLANDS_out,9,1
04/05/22,L2_ISLANDS_out,9,1
05/05/22,L2_ISLANDS_out,1,1
06/05/22,L2_ISLANDS_out,6,1
07/05/22,L2_ISLANDS_out,10,1
08/05/22,L2_ISLANDS_out,7,1
09/05/22,L2_ISLANDS_out,3,1
10/05/22,L2_ISLANDS_out,9,1
11/05/22,L2_ISLANDS_out,5,1
12/05/22,L2_ISLANDS_out,3,1
13/05/22,L2_ISLANDS_out,9,1
14/05/22,L2_ISLANDS_out,18,1
15/05/22,L2_ISLANDS_out,11,1
16/05/22,L2_ISLANDS_out,12,1
17/05/22,L2_ISLANDS_out,8,1
01/03/22,L2_KOWLOON_CITY_in,105,1
02/03/22,L2_KOWLOON_CITY_in,165,1
03/03/22,L2_KOWLOON_CITY_in,171,1
04/03/22,L2_KOWLOON_CITY_in,158,1
05/03/22,L2_KOWLOON_CITY_in,337,1
06/03/22,L2_KOWLOON_CITY_in,31,1
07/03/22,L2_KOWLOON_CITY_in,161,1
08/03/22,L2_KOWLOON_CITY_in,215,1
09/03/22,L2_KOWLOON_CITY_in,225,1
10/03/22,L2_KOWLOON_CITY_in,180,1
11/03/22,L2_KOWLOON_CITY_in,189,1
12/03/22,L2_KOWLOON_CITY_in,141,1
13/03/22,L2_KOWLOON_CITY_in,79,1
14/03/22,L2_KOWLOON_CITY_in,183,1
15/03/22,L2_KOWLOON_CITY_in,189,1
16/03/22,L2_KOWLOON_CITY_in,162,1
17/03/22,L2_KOWLOON_CITY_in,170,1
18/03/22,L2_KOWLOON_CITY_in,154,1
19/03/22,L2_KOWLOON_CITY_in,280,1
20/03/22,L2_KOWLOON_CITY_in,42,1
21/03/22,L2_KOWLOON_CITY_in,141,1
22/03/22,L2_KOWLOON_CITY_in,169,1
23/03/22,L2_KOWLOON_CITY_in,171,1
24/03/22,L2_KOWLOON_CITY_in,139,1
25/03/22,L2_KOWLOON_CITY_in,96,1
26/03/22,L2_KOWLOON_CITY_in,317,1
27/03/22,L2_KOWLOON_CITY_in,47,1
28/03/22,L2_KOWLOON_CITY_in,131,1
29/03/22,L2_KOWLOON_CITY_in,145,1
30/03/22,L2_KOWLOON_CITY_in,179,1
31/03/22,L2_KOWLOON_CITY_in,114,1
01/04/22,L2_KOWLOON_CITY_in,164,1
02/04/22,L2_KOWLOON_CITY_in,237,1
03/04/22,L2_KOWLOON_CITY_in,70,1
04/04/22,L2_KOWLOON_CITY_in,153,1
05/04/22,L2_KOWLOON_CITY_in,41,1
06/04/22,L2_KOWLOON_CITY_in,162,1
07/04/22,L2_KOWLOON_CITY_in,143,1
08/04/22,L2_KOWLOON_CITY_in,150,1
09/04/22,L2_KOWLOON_CITY_in,228,1
10/04/22,L2_KOWLOON_CITY_in,46,1
11/04/22,L2_KOWLOON_CITY_in,124,1
12/04/22,L2_KOWLOON_CITY_in,134,1
13/04/22,L2_KOWLOON_CITY_in,150,1
14/04/22,L2_KOWLOON_CITY_in,193,1
15/04/22,L2_KOWLOON_CITY_in,60,1
16/04/22,L2_KOWLOON_CITY_in,112,1
17/04/22,L2_KOWLOON_CITY_in,26,1
18/04/22,L2_KOWLOON_CITY_in,36,1
19/04/22,L2_KOWLOON_CITY_in,150,1
20/04/22,L2_KOWLOON_CITY_in,268,1
21/04/22,L2_KOWLOON_CITY_in,205,1
22/04/22,L2_KOWLOON_CITY_in,112,1
23/04/22,L2_KOWLOON_CITY_in,172,1
24/04/22,L2_KOWLOON_CITY_in,82,1
25/04/22,L2_KOWLOON_CITY_in,199,1
26/04/22,L2_KOWLOON_CITY_in,121,1
27/04/22,L2_KOWLOON_CITY_in,194,1
28/04/22,L2_KOWLOON_CITY_in,147,1
29/04/22,L2_KOWLOON_CITY_in,130,1
30/04/22,L2_KOWLOON_CITY_in,214,1
01/05/22,L2_KOWLOON_CITY_in,57,1
02/05/22,L2_KOWLOON_CITY_in,31,1
03/05/22,L2_KOWLOON_CITY_in,123,1
04/05/22,L2_KOWLOON_CITY_in,124,1
05/05/22,L2_KOWLOON_CITY_in,154,1
06/05/22,L2_KOWLOON_CITY_in,163,1
07/05/22,L2_KOWLOON_CITY_in,146,1
08/05/22,L2_KOWLOON_CITY_in,65,1
09/05/22,L2_KOWLOON_CITY_in,17,1
10/05/22,L2_KOWLOON_CITY_in,100,1
11/05/22,L2_KOWLOON_CITY_in,132,1
12/05/22,L2_KOWLOON_CITY_in,177,1
13/05/22,L2_KOWLOON_CITY_in,257,1
14/05/22,L2_KOWLOON_CITY_in,155,1
15/05/22,L2_KOWLOON_CITY_in,127,1
16/05/22,L2_KOWLOON_CITY_in,190,1
17/05/22,L2_KOWLOON_CITY_in,197,1
01/03/22,L2_KOWLOON_CITY_out,173,1
02/03/22,L2_KOWLOON_CITY_out,188,1
03/03/22,L2_KOWLOON_CITY_out,166,1
04/03/22,L2_KOWLOON_CITY_out,168,1
05/03/22,L2_KOWLOON_CITY_out,309,1
06/03/22,L2_KOWLOON_CITY_out,136,1
07/03/22,L2_KOWLOON_CITY_out,260,1
08/03/22,L2_KOWLOON_CITY_out,234,1
09/03/22,L2_KOWLOON_CITY_out,249,1
10/03/22,L2_KOWLOON_CITY_out,198,1
11/03/22,L2_KOWLOON_CITY_out,314,1
12/03/22,L2_KOWLOON_CITY_out,151,1
13/03/22,L2_KOWLOON_CITY_out,247,1
